Area Name,Postal Code,Latitude,Longitude
Mekhali          ,413102,18.068686,74.609489
Midc Kurkumbh        ,413802,18.397177,74.523737
Midc Ranjangaon Ganpati      ,412220,18.783427,74.288993
Model Colony        ,411016,18.534144,73.834759
Mohamadwadi          ,411060,18.41441,73.49637
Morgaon          ,412304,18.278225,74.314278
Mose BK        ,412107,18.399071,73.580025
Mose KH        ,412107,18.38158,73.568278
Moshi          ,412105,18.686731,73.846638
M.Phulenagar          ,411019,18.66909,73.798953
Mudhale          ,413110,18.208833,74.276478
Mukhai          ,412208,18.746287,74.097581
Mundhva          ,411036,18.534856,73.931129
Mundhva AV        ,411036,18.551182,73.928955
Murti Modhave        ,412304,18.212375,74.280885
Murum          ,412306,18.072614,74.302243
Muthe          ,412115,18.645159,73.92576
Naiphad          ,412402,19.054884,73.690316
Nalavane          ,412410,19.193122,74.195148
Nana Peth        ,411002,18.514228,73.869689
Nanded          ,411041,18.458733,73.798914
Nandgaon          ,412108,18.116813,73.766885
Nane          ,410405,18.780749,73.5561
Nangaon          ,412203,18.542023,74.428381
Nanvij          ,413801,18.505777,74.539716
Narayangaon          ,410504,19.16005,73.919003
Narayan Peth        ,411030,20.657934,74.3783
Narodi          ,410503,19.023959,73.885134
Nasrapur          ,412213,18.249321,73.879763
Natambi          ,412206,18.1124,73.797058
Nathachi Wadi        ,412214,18.526189,74.292021
Navsahyadri          ,411052,18.482529,73.809557
Naygaon          ,412104,18.391064,73.9783
Naygaon          ,412110,18.391064,73.9783
Nazare          ,412206,18.077364,73.799263
Nazare Kade Pathar      ,412303,18.645159,73.92576
N.C.L. Pune        ,411008,18.533847,73.803675
N.D.A. Khadakwasla        ,411023,18.445413,73.780145
Nehrunagar          ,411018,18.632597,73.821661
Nere          ,412206,18.073517,73.855139
Netwad          ,412409,19.245036,73.950845
Nhavare          ,412211,18.662771,74.369084
Nhavi          ,412205,18.166131,74.448432
Nhavi          ,413132,18.166131,74.448432
N.I.A.          ,411045,18.563204,73.777203
N I B M    ,411048,18.476615,73.896839
Nimbut          ,412102,18.103394,74.234807
Nimgaon Bhogi        ,412220,18.828809,74.268418
Nimgaon Ketki        ,413120,18.08484,74.916434
Nimgaon Khed        ,410505,18.794262,73.929377
Nimgaon Mahalungi        ,412209,18.695594,74.224294
Nimgaon Sava        ,410504,19.08231,74.126482
